Sample_ID,Heat_Treatment,Grain_Size_um,Temperature_C,Measurement_Batch,Hardness_HV
A191,Annealed,55,909,1,265
A192,Annealed,51,891,2,281
A193,Annealed,43,905,3,290
A194,Annealed,51,905,2,264
A195,Annealed,52,898,2,270
A196,Annealed,45,903,2,290
A197,Annealed,51,890,1,272
A198,Annealed,50,907,2,277
A199,Annealed,43,899,1,294
A200,Annealed,52,896,4,274
A201,Annealed,53,908,3,272
A202,Annealed,56,894,1,272
A203,Annealed,56,889,4,286
A204,Annealed,42,888,1,288
A205,Annealed,44,905,1,283
A206,Annealed,53,890,3,272
A207,Annealed,53,914,5,279
A208,Annealed,53,883,5,280
A209,Annealed,73,914,1,257
A210,Annealed,53,902,2,280
A211,Annealed,57,899,4,272
A212,Annealed,56,896,2,274
A213,Annealed,54,903,2,269
A214,Annealed,48,900,1,276
A215,Annealed,55,909,1,267
A216,Annealed,45,901,1,274
A217,Annealed,49,901,1,282
A218,Annealed,47,897,5,278
A219,Annealed,50,900,1,268
A220,Annealed,64,902,5,284
A221,Annealed,39,886,5,280
A222,Annealed,54,889,1,282
A223,Annealed,40,906,3,276
A224,Annealed,47,901,4,283
A225,Annealed,57,899,2,271
A226,Annealed,50,900,5,273
A227,Annealed,44,903,4,285
A228,Annealed,46,896,3,282
A229,Annealed,54,894,2,269
A230,Annealed,46,902,2,275
A231,Annealed,51,892,5,266
A232,Annealed,50,903,1,280
A233,Annealed,46,886,3,272
A234,Annealed,63,908,5,269
A235,Annealed,54,904,3,279
A236,Annealed,38,902,1,291
A237,Annealed,51,908,1,272
A238,Annealed,46,913,5,287
A239,Annealed,55,908,1,271
A240,Annealed,45,885,4,272
A241,Annealed,49,890,2,276
A242,Annealed,53,895,5,280
A243,Annealed,55,900,3,269
A244,Annealed,43,904,4,290
A245,Annealed,48,894,5,274
A246,Annealed,47,901,1,276
A247,Annealed,46,894,1,274
A248,Annealed,61,895,1,275
A249,Annealed,52,889,1,276
A250,Annealed,42,893,3,278
A251,Annealed,56,889,4,271
A252,Annealed,63,892,2,248
A253,Annealed,56,908,3,279
A254,Annealed,41,892,3,285
A255,Annealed,47,921,2,263
A256,Annealed,58,904,2,262
A257,Annealed,46,901,1,278
A258,Annealed,53,893,3,267
A259,Annealed,55,906,5,280
A260,Annealed,44,895,2,285
A261,Annealed,50,901,2,281
A262,Annealed,31,920,4,281
A263,Annealed,44,899,5,279
A264,Annealed,48,909,5,274
A265,Annealed,43,894,2,278
A266,Annealed,60,900,1,268
A267,Annealed,41,914,4,278
A268,Annealed,47,895,5,281
A269,Annealed,51,914,2,283
A270,Annealed,59,906,5,277
A271,Annealed,41,896,4,285
A272,Annealed,57,905,4,287
A273,Annealed,50,908,3,286
A274,Annealed,44,905,2,282
A275,Annealed,53,887,4,272
A276,Annealed,51,894,3,286
A277,Annealed,46,898,3,288
A278,Annealed,50,899,5,268
A279,Annealed,48,905,5,287
A280,Annealed,51,901,3,276
A281,Annealed,54,889,5,269
A282,Annealed,60,903,4,257
A283,Annealed,43,905,1,282
A284,Annealed,63,904,4,269
A285,Annealed,38,909,3,300
A286,Annealed,49,907,3,285
A287,Annealed,54,904,4,271
A288,Annealed,52,899,5,279
A289,Annealed,46,887,5,287
A290,Annealed,49,903,3,279
A291,Annealed,47,902,2,276
A292,Annealed,46,902,5,277
A293,Annealed,55,890,4,277
A294,Annealed,52,891,5,279
A295,Annealed,46,908,4,279
A296,Annealed,55,900,3,256
A297,Annealed,52,905,5,267
A298,Annealed,55,900,4,279
A299,Annealed,54,900,3,260
A300,Annealed,45,908,2,290
A301,Annealed,47,896,4,288
A302,Annealed,54,901,2,275
A303,Annealed,54,896,2,279
A304,Annealed,50,897,1,282
A305,Annealed,51,898,5,276
A306,Annealed,58,902,4,263
A307,Annealed,46,896,2,287
A308,Annealed,53,910,1,285
A309,Annealed,49,893,3,270
A310,Annealed,49,899,4,269
A311,Annealed,57,896,2,272
A312,Annealed,55,912,5,270
A313,Annealed,55,902,1,275
A314,Annealed,58,908,2,281
A315,Annealed,50,888,5,262
A316,Annealed,54,902,2,286
A317,Annealed,48,907,4,276
A318,Annealed,52,901,4,280
A319,Annealed,49,909,4,283
A320,Annealed,51,896,1,282
A321,Annealed,54,911,4,276
A322,Annealed,45,918,5,284
A323,Annealed,63,897,2,272
A324,Annealed,44,896,3,279
A325,Annealed,43,912,5,272
A326,Annealed,57,913,5,264
A327,Annealed,55,896,4,274
A328,Annealed,54,897,1,270
A329,Annealed,54,898,2,270
A330,Annealed,50,889,1,290
A331,Annealed,45,893,2,288
A332,Annealed,50,892,2,276
A333,Annealed,46,894,1,286
A334,Annealed,56,900,5,271
A335,Annealed,49,902,2,279
A336,Annealed,45,912,1,285
A337,Annealed,48,892,2,276
A338,Annealed,52,908,3,271
A339,Annealed,47,898,5,289
A340,Annealed,45,900,4,286
A341,Annealed,51,905,2,261
A342,Annealed,51,891,3,272
A343,Annealed,47,903,4,275
A344,Annealed,47,901,4,276
A345,Annealed,51,904,2,283
A346,Annealed,41,902,1,286
A347,Annealed,42,920,2,276
A348,Annealed,46,895,3,279
A349,Annealed,49,896,4,283
A350,Annealed,52,895,2,275
A351,Annealed,59,896,1,267
A352,Annealed,55,895,2,276
A353,Annealed,49,910,5,290
A354,Annealed,50,911,1,281
A355,Annealed,44,895,3,292
A356,Annealed,50,893,4,274
A357,Annealed,48,904,2,279
A358,Annealed,52,896,1,276
A359,Annealed,45,905,5,283
A360,Annealed,53,902,1,279
A361,Annealed,59,888,5,265
A362,Annealed,49,912,3,283
A363,Annealed,52,914,4,265
A364,Annealed,54,895,3,265
A365,Annealed,48,897,2,295
A366,Annealed,51,902,1,273
A367,Annealed,50,903,5,283
A368,Annealed,51,905,5,289
A369,Annealed,45,916,1,265
A370,Annealed,50,899,1,286
A371,Annealed,53,894,2,280
A372,Annealed,59,889,3,283
A373,Annealed,56,894,5,265
A374,Annealed,63,900,2,279
A375,Annealed,45,914,3,276
A376,Annealed,55,896,2,281
A377,Annealed,51,902,5,277
A378,Annealed,63,900,1,275
A379,Annealed,45,910,1,282
A380,Annealed,45,920,3,269
A381,Annealed,46,896,4,259
A382,Annealed,37,896,3,292
A383,Annealed,47,908,4,279
A384,Annealed,45,905,2,284
A385,Annealed,51,915,2,275
A386,Annealed,52,905,5,290
A387,Annealed,61,897,4,272
A388,Annealed,56,905,5,271
A389,Annealed,47,909,1,283
A390,Annealed,45,907,4,279
A391,Annealed,53,904,3,276
A392,Annealed,42,909,1,276
A393,Annealed,61,909,1,270
A394,Annealed,57,911,3,269
A395,Annealed,47,905,1,272
A396,Annealed,40,899,4,301
A397,Annealed,58,901,5,265
A398,Annealed,49,910,1,278
A399,Annealed,57,893,4,267
A400,Annealed,40,903,2,289
A401,Annealed,46,897,4,272
A402,Annealed,50,900,5,284
A403,Annealed,50,910,4,292
A404,Annealed,47,902,3,274
A405,Annealed,54,900,5,284
A406,Annealed,44,889,2,281
A407,Annealed,49,906,3,289
A408,Annealed,51,905,4,293
A409,Annealed,53,917,5,274
A410,Annealed,54,898,2,264
A411,Annealed,43,902,3,290
A412,Annealed,41,902,2,288
A413,Annealed,58,913,4,276
A414,Annealed,52,899,2,274
A415,Annealed,46,902,1,275
A416,Annealed,59,905,3,280
A417,Annealed,51,901,2,279
A418,Annealed,57,896,4,263
A419,Annealed,50,902,4,282
A420,Annealed,62,909,2,273
A421,Annealed,61,892,4,268
A422,Annealed,49,901,5,290
A423,Annealed,56,894,5,269
A424,Annealed,54,910,5,274
A425,Annealed,58,888,1,277
A426,Annealed,44,896,2,283
A427,Annealed,54,903,1,265
A428,Annealed,56,913,4,275
A429,Annealed,39,899,1,285
A430,Annealed,43,896,4,290
A431,Annealed,38,915,4,291
A432,Annealed,48,888,3,280
A433,Annealed,54,882,5,267
A434,Annealed,59,904,4,270
A435,Annealed,50,896,3,284
A436,Annealed,60,892,5,266
A437,Annealed,42,906,4,285
A438,Annealed,40,902,4,281
A439,Annealed,50,895,1,270
A440,Annealed,52,890,1,275
A441,Annealed,50,907,5,279
A442,Annealed,38,905,4,304
A443,Annealed,49,899,2,275
A444,Annealed,42,915,1,284
A445,Annealed,54,891,5,266
A446,Annealed,52,888,4,280
A447,Annealed,44,894,4,285
A448,Annealed,47,900,2,291
A449,Annealed,44,902,5,291
A450,Annealed,50,898,4,281
A451,Annealed,56,903,1,270
A452,Annealed,44,890,2,284
A453,Annealed,53,912,5,275
A454,Annealed,47,899,2,287
A455,Annealed,45,909,1,288
A456,Annealed,49,903,5,276
A457,Annealed,44,904,2,273
A458,Annealed,47,905,3,290
A459,Annealed,43,904,1,288
A460,Annealed,62,905,1,268
A461,Annealed,50,911,1,281
A462,Annealed,46,902,3,282
A463,Annealed,51,906,3,286
A464,Annealed,49,899,4,265
A465,Annealed,49,912,2,276
A466,Annealed,54,895,4,286
A467,Annealed,55,914,2,278
A468,Annealed,47,900,3,293
A469,Annealed,47,889,3,272
A470,Annealed,48,901,4,287
A471,Annealed,36,895,5,299
A472,Annealed,41,907,4,274
A473,Annealed,58,895,2,270
A474,Annealed,60,896,4,270
A475,Annealed,49,885,1,268
A476,Annealed,53,896,2,273
A477,Annealed,52,881,2,282
A478,Annealed,68,887,5,264
A479,Annealed,57,906,3,275
A480,Annealed,49,906,2,280
A481,Annealed,44,903,3,283
A482,Annealed,40,892,4,282
A483,Annealed,51,900,1,281
A484,Annealed,45,900,5,270
A485,Annealed,41,891,3,285
A486,Annealed,46,912,2,291
A487,Annealed,44,907,3,280
A488,Annealed,60,898,2,266
A489,Annealed,55,900,3,279
A490,Annealed,50,902,2,279
A491,Annealed,59,884,4,277
A492,Annealed,50,898,2,278
A493,Annealed,45,895,2,265
A494,Annealed,59,892,1,280
A495,Annealed,53,898,2,290
A496,Annealed,44,914,1,292
A497,Annealed,49,905,5,254
A498,Annealed,45,895,1,285
A499,Annealed,42,905,4,282
Q000,Quenched,12,1038,1,348
Q001,Quenched,16,1060,1,339
Q002,Quenched,16,1057,4,338
Q003,Quenched,15,1054,5,347
Q004,Quenched,16,1046,1,337
Q005,Quenched,17,1056,1,324
Q006,Quenched,15,1061,3,339
Q007,Quenched,12,1056,2,351
Q008,Quenched,11,1043,4,353
Q009,Quenched,15,1053,4,332
Q010,Quenched,16,1061,2,338
Q011,Quenched,13,1072,1,365
Q012,Quenched,17,1048,3,330
Q013,Quenched,14,1059,3,342
Q014,Quenched,11,1061,4,359
Q015,Quenched,18,1042,3,329
Q016,Quenched,18,1068,2,338
Q017,Quenched,10,1039,1,388
Q018,Quenched,14,1058,2,351
Q019,Quenched,13,1053,5,351
Q020,Quenched,19,1051,4,322
Q021,Quenched,15,1075,3,341
Q022,Quenched,11,1047,5,368
Q023,Quenched,17,1047,3,330
Q024,Quenched,12,1063,1,358
Q025,Quenched,14,1058,1,345
Q026,Quenched,13,1063,1,348
Q027,Quenched,14,1051,3,349
Q028,Quenched,17,1053,5,318
Q029,Quenched,19,1069,1,331
Q030,Quenched,12,1042,5,376
Q031,Quenched,17,1049,3,331
Q032,Quenched,13,1058,5,354
Q033,Quenched,13,1048,3,357
Q034,Quenched,16,1044,3,345
Q035,Quenched,12,1056,4,354
Q036,Quenched,16,1063,3,324
Q037,Quenched,17,1049,3,336
Q038,Quenched,14,1048,2,348
Q039,Quenched,18,1044,1,326
Q040,Quenched,12,1047,4,359
Q041,Quenched,18,1061,4,329
Q042,Quenched,10,1051,4,375
Q043,Quenched,22,1042,2,320
Q044,Quenched,14,1053,3,346
Q045,Quenched,12,1061,1,361
Q046,Quenched,14,1044,5,343
Q047,Quenched,12,1037,3,361
Q048,Quenched,16,1072,2,333
Q049,Quenched,18,1036,3,329
Q050,Quenched,13,1046,3,344
Q051,Quenched,16,1052,2,333
Q052,Quenched,11,1047,4,369
Q053,Quenched,18,1049,4,324
Q054,Quenched,16,1056,1,335
Q055,Quenched,18,1026,1,314
Q056,Quenched,15,1037,4,334
Q057,Quenched,14,1050,5,340
Q058,Quenched,17,1046,3,334
Q059,Quenched,12,1051,5,363
Q060,Quenched,11,1052,3,368
Q061,Quenched,15,1029,4,339
Q062,Quenched,14,1063,1,344
Q063,Quenched,16,1045,1,341
Q064,Quenched,18,1041,5,332
Q065,Quenched,16,1052,1,334
Q066,Quenched,18,1051,4,340
Q067,Quenched,16,1062,5,352
Q068,Quenched,16,1053,3,328
Q069,Quenched,15,1062,1,347
Q070,Quenched,16,1041,2,358
Q071,Quenched,15,1051,1,342
Q072,Quenched,16,1039,3,339
Q073,Quenched,15,1051,5,344
Q074,Quenched,17,1049,3,337
Q075,Quenched,13,1048,2,357
Q076,Quenched,15,1049,4,334
Q077,Quenched,18,1057,1,328
Q078,Quenched,13,1034,5,339
Q079,Quenched,10,1041,4,376
Q080,Quenched,16,1050,3,332
Q081,Quenched,14,1038,5,348
Q082,Quenched,18,1050,4,320
Q083,Quenched,15,1049,5,340
Q084,Quenched,13,1036,2,357
Q085,Quenched,15,1035,2,338
Q086,Quenched,18,1024,1,317
Q087,Quenched,16,1038,1,337
Q088,Quenched,9,1050,2,380
Q089,Quenched,15,1052,5,339
Q090,Quenched,16,1052,2,334
Q091,Quenched,15,1042,1,356
Q092,Quenched,13,1050,2,339
Q093,Quenched,18,1054,2,350
Q094,Quenched,18,1037,5,327
Q095,Quenched,9,1051,4,380
Q096,Quenched,13,1057,1,348
Q097,Quenched,15,1045,5,339
Q098,Quenched,17,1061,2,326
Q099,Quenched,15,1045,2,346
Q100,Quenched,13,1041,4,341
Q101,Quenched,17,1056,1,337
Q102,Quenched,14,1070,1,329
Q103,Quenched,15,1051,3,345
Q104,Quenched,15,1056,1,348
Q105,Quenched,16,1045,4,327
Q106,Quenched,14,1038,3,351
Q107,Quenched,17,1052,3,335
Q108,Quenched,15,1053,2,354
Q109,Quenched,12,1046,2,351
Q110,Quenched,15,1056,1,362
Q111,Quenched,12,1043,3,339
Q112,Quenched,15,1041,2,339
Q113,Quenched,17,1061,4,321
Q114,Quenched,12,1061,2,370
Q115,Quenched,16,1044,2,336
Q116,Quenched,13,1067,3,352
Q117,Quenched,16,1047,3,343
Q118,Quenched,17,1051,5,333
Q119,Quenched,10,1049,4,373
Q120,Quenched,12,1055,3,349
Q121,Quenched,14,1053,1,348
Q122,Quenched,16,1053,4,341
Q123,Quenched,15,1040,4,349
Q124,Quenched,15,1033,3,356
Q125,Quenched,20,1061,4,307
Q126,Quenched,12,1045,3,359
Q127,Quenched,18,1050,2,339
Q128,Quenched,14,1053,5,345
Q129,Quenched,16,1066,2,320
Q130,Quenched,20,1052,3,313
Q131,Quenched,17,1046,3,337
Q132,Quenched,16,1045,2,340
Q133,Quenched,19,1050,1,331
Q134,Quenched,18,1041,1,325
Q135,Quenched,13,1050,1,354
Q136,Quenched,16,1049,3,332
Q137,Quenched,11,1066,4,370
Q138,Quenched,14,1049,3,349
Q139,Quenched,16,1031,4,333
Q140,Quenched,13,1077,2,361
Q141,Quenched,16,1060,5,327
Q142,Quenched,15,1071,4,341
Q143,Quenched,16,1038,1,330
Q144,Quenched,14,1048,3,360
Q145,Quenched,13,1057,2,359
Q146,Quenched,19,1055,1,323
Q147,Quenched,14,1053,2,346
Q148,Quenched,17,1028,5,348
Q149,Quenched,19,1033,3,321
Q150,Quenched,15,1065,3,328
Q151,Quenched,13,1067,5,355
Q152,Quenched,15,1049,3,346
Q153,Quenched,18,1064,4,336
Q154,Quenched,16,1040,2,344
Q155,Quenched,12,1042,1,371
Q156,Quenched,16,1039,5,323
Q157,Quenched,17,1042,4,325
Q158,Quenched,14,1057,1,351
Q159,Quenched,17,1041,1,328
Q160,Quenched,16,1072,5,329
Q161,Quenched,15,1055,4,357
Q162,Quenched,12,1061,1,349
Q163,Quenched,18,1055,1,328
Q164,Quenched,17,1062,4,333
Q165,Quenched,16,1041,3,345
Q166,Quenched,19,1064,1,314
Q167,Quenched,17,1051,2,335
Q168,Quenched,17,1062,4,328
Q169,Quenched,9,1036,1,383
Q170,Quenched,18,1052,5,323
Q171,Quenched,15,1051,2,352
Q172,Quenched,16,1044,1,332
Q173,Quenched,16,1053,2,321
Q174,Quenched,17,1065,2,328
Q175,Quenched,18,1043,3,329
Q176,Quenched,17,1060,2,343
Q177,Quenched,16,1039,3,328
Q178,Quenched,16,1071,4,331
Q179,Quenched,7,1058,3,420
Q180,Quenched,14,1067,5,336
Q181,Quenched,13,1057,1,353
Q182,Quenched,18,1054,4,328
Q183,Quenched,17,1058,4,337
Q184,Quenched,14,1049,5,343
Q185,Quenched,14,1034,3,340
Q186,Quenched,14,1054,1,349
Q187,Quenched,14,1042,3,341
Q188,Quenched,11,1039,2,353
Q189,Quenched,11,1056,3,376
Q190,Quenched,15,1047,4,345
Q191,Quenched,18,1060,1,343
Q192,Quenched,14,1042,3,354
Q193,Quenched,16,1045,1,330
Q194,Quenched,17,1062,1,335
Q195,Quenched,13,1053,2,348
Q196,Quenched,15,1035,2,331
Q197,Quenched,13,1053,4,347
Q198,Quenched,19,1065,5,333
Q199,Quenched,19,1045,1,328
Q200,Quenched,13,1056,5,346
Q201,Quenched,16,1042,4,334
Q202,Quenched,18,1049,1,330
Q203,Quenched,17,1061,1,321
Q204,Quenched,15,1052,5,346
Q205,Quenched,18,1063,3,327
Q206,Quenched,13,1054,2,344
Q207,Quenched,14,1072,3,336
Q208,Quenched,13,1034,5,361
Q209,Quenched,17,1048,2,331
Q210,Quenched,14,1039,3,358
Q211,Quenched,15,1040,2,355
Q212,Quenched,17,1040,1,342
Q213,Quenched,17,1052,3,331
Q214,Quenched,13,1052,2,337
Q215,Quenched,18,1054,2,333
Q216,Quenched,16,1039,2,352
Q217,Quenched,12,1047,3,357
Q218,Quenched,12,1040,4,347
Q219,Quenched,15,1059,3,337
Q220,Quenched,17,1041,5,332
Q221,Quenched,17,1048,3,325
Q222,Quenched,16,1056,2,320
Q223,Quenched,15,1044,1,341
Q224,Quenched,16,1057,3,331
Q225,Quenched,13,1066,3,366
Q226,Quenched,19,1052,2,326
Q227,Quenched,19,1059,1,329
Q228,Quenched,16,1029,1,336
Q229,Quenched,15,1046,5,340
Q230,Quenched,14,1052,3,336
Q231,Quenched,16,1039,1,329
Q232,Quenched,13,1052,1,359
Q233,Quenched,9,1061,4,380
Q234,Quenched,8,1031,4,389
Q235,Quenched,13,1038,1,356
Q236,Quenched,15,1052,5,344
Q237,Quenched,16,1055,1,352
Q238,Quenched,14,1057,2,349
Q239,Quenched,15,1051,3,333
Q240,Quenched,14,1055,5,345
Q241,Quenched,13,1059,2,360
Q242,Quenched,15,1046,5,350
Q243,Quenched,17,1044,2,322
Q244,Quenched,13,1048,3,357
Q245,Quenched,13,1052,3,349
Q246,Quenched,12,1043,4,353
Q247,Quenched,10,1046,2,378
Q248,Quenched,14,1054,4,353
Q249,Quenched,17,1052,2,329
Q250,Quenched,36,1048,4,291
Q251,Quenched,34,1033,3,290
Q252,Quenched,35,1050,5,313
Q253,Quenched,33,1040,4,297
Q254,Quenched,28,1060,2,298
Q255,Quenched,38,1047,2,299
Q256,Quenched,39,1040,3,298
Q257,Quenched,32,1049,2,309
Q258,Quenched,34,1063,1,308
Q259,Quenched,34,1056,5,299
Q260,Quenched,36,1052,4,289
Q261,Quenched,41,1037,5,285
Q262,Quenched,39,1066,3,286
Q263,Quenched,34,1044,4,292
Q264,Quenched,37,1059,4,299
Q265,Quenched,39,1047,1,288
Q266,Quenched,36,1058,3,298
Q267,Quenched,35,1063,2,298
Q268,Quenched,37,1056,1,283
Q269,Quenched,33,1058,1,284
Q270,Quenched,33,1049,5,287
Q271,Quenched,31,1046,5,295
Q272,Quenched,36,1051,5,293
Q273,Quenched,35,1047,1,289
Q274,Quenched,32,1075,2,302
Q275,Quenched,34,1040,4,290
Q276,Quenched,37,1060,5,293
Q277,Quenched,42,1055,2,286
Q278,Quenched,39,1052,3,301
Q279,Quenched,27,1065,5,299
Q280,Quenched,36,1053,4,307
Q281,Quenched,40,1044,3,283
Q282,Quenched,30,1053,3,291
Q283,Quenched,37,1048,4,289
Q284,Quenched,34,1055,5,317
Q285,Quenched,39,1058,1,294
Q286,Quenched,36,1041,4,295
Q287,Quenched,32,1062,4,303
Q288,Quenched,34,1047,4,289
Q289,Quenched,35,1054,3,296
Q290,Quenched,35,1056,2,294
Q291,Quenched,39,1054,1,301
Q292,Quenched,32,1049,5,296
Q293,Quenched,39,1045,5,286
Q294,Quenched,34,1047,2,286
Q295,Quenched,36,1066,4,293
Q296,Quenched,35,1041,1,295
Q297,Quenched,35,1043,5,285
Q298,Quenched,35,1042,5,296
Q299,Quenched,40,1051,4,288
Q300,Quenched,38,1035,2,296
Q301,Quenched,34,1036,1,303
Q302,Quenched,41,1047,2,287
Q303,Quenched,36,1037,2,284
Q304,Quenched,36,1038,1,286
Q305,Quenched,32,1037,1,309
Q306,Quenched,33,1042,5,297
Q307,Quenched,33,1057,5,309
Q308,Quenched,35,1060,1,296
Q309,Quenched,37,1069,3,295
Q310,Quenched,36,1069,5,298
Q311,Quenched,41,1058,3,278
Q312,Quenched,32,1060,1,300
Q313,Quenched,35,1051,5,284
Q314,Quenched,31,1055,2,298
Q315,Quenched,32,1069,1,302
Q316,Quenched,39,1054,4,280
Q317,Quenched,33,1062,3,299
Q318,Quenched,32,1041,1,286
Q319,Quenched,28,1043,1,313
Q320,Quenched,32,1053,5,292
Q321,Quenched,34,1051,5,287
Q322,Quenched,30,1044,5,290
Q323,Quenched,34,1074,4,290
Q324,Quenched,39,1052,5,274
Q325,Quenched,33,1046,1,293
Q326,Quenched,32,1052,5,305
